time_s,q_z100p0m,q_z10p0m,q_z180p0m,q_z200p0m,q_z25p0m,q_z50p0m,theta_z100p0m,theta_z10p0m,theta_z180p0m,theta_z200p0m,theta_z25p0m,theta_z50p0m,u_z100p0m,u_z10p0m,u_z180p0m,u_z200p0m,u_z25p0m,u_z50p0m,v_z100p0m,v_z10p0m,v_z180p0m,v_z200p0m,v_z25p0m,v_z50p0m,w_z100p0m,w_z10p0m,w_z180p0m,w_z200p0m,w_z25p0m,w_z50p0m
9860,0.0095550641417503357,0.009885682724416256,0.0087752491235733032,0.008738270029425621,0.0098753804340958595,0.0096983835101127625,293.05316162109375,289.9622802734375,297.20846557617188,297.39556884765625,290.1649169921875,291.89678955078125,-6.7477378845214844,-2.2863121032714844,-3.3056473731994629,-2.7765858173370361,-2.5990338325500488,-4.9980478286743164,3.1539256572723389,-0.020472664386034012,7.1037931442260742,6.861081600189209,0.036011390388011932,0.87951070070266724,0.045281611382961273,-0.0024552836548537016,0.085946723818778992,0.041654545813798904,0.063213028013706207,0.042066633701324463
9870,0.0095171071588993073,0.0098826028406620026,0.0087965279817581177,0.0087356315925717354,0.009863569401204586,0.0097337989136576653,293.24774169921875,289.99057006835938,297.10293579101562,297.40591430664062,290.28118896484375,291.52029418945312,-6.6493010520935059,-2.2356703281402588,-3.351409912109375,-2.7438559532165527,-2.614109992980957,-4.1621685028076172,3.0695145130157471,0.020279580727219582,7.0324864387512207,6.8615903854370117,0.046979606151580811,0.7141990065574646,-0.041677247732877731,0.0029753099661320448,0.014238485135138035,0.015280451625585556,0.036334220319986343,0.25413438677787781
9880,0.0095348134636878967,0.0098791234195232391,0.0087711969390511513,0.0087367752566933632,0.0098605267703533173,0.0097780711948871613,293.2318115234375,290.01828002929688,297.19943237304688,297.415771484375,290.31686401367188,291.148193359375,-6.650761604309082,-2.2066278457641602,-3.2406511306762695,-2.7136919498443604,-2.6053683757781982,-4.2904624938964844,3.1194241046905518,-0.027673885226249695,6.9999904632568359,6.8468289375305176,-0.0096201552078127861,0.12031573802232742,-0.056891061365604401,0.069234862923622131,-0.053528085350990295,-0.001446541165933013,0.13608275353908539,-0.12448028475046158
9890,0.0095294155180454254,0.0098771592602133751,0.0087975813075900078,0.0087343780323863029,0.0098669342696666718,0.0098320441320538521,293.25634765625,290.0289306640625,297.01507568359375,297.40167236328125,290.24551391601562,290.84161376953125,-6.6450815200805664,-2.259972095489502,-3.5009098052978516,-2.7497458457946777,-2.6274411678314209,-4.0010013580322266,3.3589880466461182,-0.12472683936357498,7.1461391448974609,6.9061484336853027,-0.11742544919252396,0.35352587699890137,0.1522207111120224,0.026039689779281616,-0.027382470667362213,-0.0095415841788053513,-0.0022346640471369028,0.23618768155574799
9900,0.0095175113528966904,0.0098765073344111443,0.008791925385594368,0.0087341470643877983,0.0098680080845952034,0.0097444029524922371,293.28240966796875,290.02603149414062,297.06051635742188,297.38702392578125,290.20587158203125,291.61569213867188,-6.3956599235534668,-2.2594761848449707,-3.4380035400390625,-2.7270348072052002,-2.5469100475311279,-4.731266975402832,2.8163013458251953,-0.13185933232307434,7.1836481094360352,6.8699731826782227,-0.10673719644546509,0.31931662559509277,-0.052672211080789566,0.018909474834799767,0.026467427611351013,0.0086256768554449081,0.035613276064395905,-0.039464704692363739
9910,0.0095402542501688004,0.0098788607865571976,0.0088228955864906311,0.0087257800623774529,0.0098739862442016602,0.0097854426130652428,293.15853881835938,289.99307250976562,296.93011474609375,297.43792724609375,290.14666748046875,291.17098999023438,-6.860663890838623,-2.2872118949890137,-3.4519000053405762,-2.6153759956359863,-2.5203790664672852,-4.3715462684631348,3.292081356048584,-0.06778060644865036,7.1926116943359375,6.8868322372436523,-0.072787173092365265,0.55506891012191772,-0.080278769135475159,0.038194302469491959,0.080701984465122223,0.034154567867517471,0.073880851268768311,0.0030748965218663216
9920,0.009534839540719986,0.0098818670958280563,0.0087787285447120667,0.0087335957214236259,0.0098785199224948883,0.0097748031839728355,293.25686645507812,289.95535278320312,297.10720825195312,297.41116333007812,290.08746337890625,291.16946411132812,-6.7193617820739746,-2.3671028614044189,-3.3780856132507324,-2.6656994819641113,-2.6219449043273926,-3.9587445259094238,3.0157651901245117,0.045990694314241409,7.1061701774597168,6.8394293785095215,0.10823650658130646,0.62930434942245483,0.062631867825984955,-0.0088534131646156311,0.050797488540410995,0.016547318547964096,-0.0097908182069659233,0.12334620952606201
9930,0.0095140840858221054,0.0098819751292467117,0.0087967021390795708,0.008746112696826458,0.0098631316795945168,0.0097716422751545906,293.47119140625,289.95147705078125,297.04580688476562,297.30255126953125,290.23037719726562,291.21533203125,-6.5820860862731934,-2.3135087490081787,-3.4122731685638428,-2.7256801128387451,-2.6973600387573242,-4.3180971145629883,3.2530827522277832,0.0035047819837927818,7.0364170074462891,6.8194608688354492,0.081440024077892303,0.16192090511322021,0.080335959792137146,-0.11298301070928574,0.048644289374351501,0.01849428191781044,-0.20091751217842102,0.12531380355358124
9940,0.0094841010868549347,0.0098788496106863022,0.0087853260338306427,0.0087289446964859962,0.0098575009033083916,0.009687911719083786,293.52279663085938,289.97900390625,297.14138793945312,297.41998291015625,290.290283203125,292.0340576171875,-6.6817483901977539,-2.2385077476501465,-3.2174711227416992,-2.6097133159637451,-2.7658402919769287,-4.8116531372070312,3.4341273307800293,-0.036010924726724625,6.953300952911377,6.8220562934875488,0.063721902668476105,1.0333763360977173,-0.02248670719563961,-0.02433021180331707,0.015450109727680683,-0.017355000600218773,-0.014432293362915516,0.12717422842979431
9950,0.0094592319801449776,0.0098769301548600197,0.0087507562711834908,0.0087202005088329315,0.0098568359389901161,0.0097504574805498123,293.65249633789062,289.99880981445312,297.25469970703125,297.45098876953125,290.29815673828125,291.37405395507812,-6.783289909362793,-2.2267794609069824,-3.1710937023162842,-2.6860523223876953,-2.668769359588623,-4.7628655433654785,3.3582706451416016,-0.0076962183229625225,6.9487490653991699,6.7879486083984375,0.1203601062297821,0.39620667695999146,-0.058675050735473633,-0.019053660333156586,-0.040888112038373947,-0.023627443239092827,-0.013225622475147247,-0.12471460551023483
