time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,prescribed_friction_velocity,prescribed_kinematic_stress_magnitude,prescribed_surface_heat_flux,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_sensible_heat_flux,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
8700,495.05934936670275,1,0.47554594278335571,755.20831298828125,15.001349449157715,-3.2835843740031123e-05,1,0,0,0.5,0.25,0,218.96025085449219,15.238883972167969,470.30638189836759,0,1.1614301204681396,-0.2582593560218811,-0.22236323356628418,-0.047826036810874939,-0.041178572922945023,0,0,0,309.392822265625,299.97305297851562,15.238714218139648,4.9399652481079102,2.1017303466796875,0.23569931089878082
8760,493.99465892278261,1,0.47715112566947937,755.20831298828125,15.001349449157715,-3.304751226096414e-05,1,0,0,0.5,0.25,0,220.48336791992188,15.180185317993164,469.29492597664347,0,1.1614301204681396,-0.26015657186508179,-0.22399674355983734,-0.047327935695648193,-0.040749706327915192,0,0,0,309.392822265625,299.94488525390625,15.179973602294922,4.9053010940551758,2.0785248279571533,0.23311620950698853
8820,495.60929792920427,1,0.47669023275375366,755.20831298828125,15.001347541809082,-3.3209733373951167e-05,1,0,0,0.5,0.25,0,220.60939025878906,15.176347732543945,470.82883303274406,0,1.1614301204681396,-0.25980153679847717,-0.22369106113910675,-0.046419482678174973,-0.039967522025108337,0,0,0,309.392822265625,299.93145751953125,15.176132202148438,4.9800496101379395,2.33599853515625,0.24271154403686523
8880,495.91510969879431,1,0.47431933879852295,755.20831298828125,15.001347541809082,-3.325760189909488e-05,1,0,0,0.5,0.25,0,219.76828002929688,15.153265953063965,471.11935421385459,0,1.1614301204681396,-0.25704184174537659,-0.221314936876297,-0.046965103596448898,-0.040437303483486176,0,0,0,309.392822265625,299.96060180664062,15.152514457702637,5.1374197006225586,2.4269731044769287,0.22771927714347839
8940,493.0116820730679,1,0.47507867217063904,755.20831298828125,15.001346588134766,-3.3298514608759433e-05,1,0,0,0.5,0.25,0,220.22718811035156,15.176032066345215,468.36109796941446,0,1.1614301204681396,-0.25767782330513,-0.22186252474784851,-0.048131361603736877,-0.041441462934017181,0,0,0,309.392822265625,299.95523071289062,15.175708770751953,4.7321367263793945,2.6272292137145996,0.2329438328742981
9000,493.31432347789797,1,0.47336441278457642,755.20831298828125,15.0013427734375,-3.345032746437937e-05,1,0,0,0.5,0.25,0,221.40824890136719,15.139175415039062,468.64860730400306,0,1.1614301204681396,-0.25558087229728699,-0.22005704045295715,-0.049055811017751694,-0.042237419635057449,0,0,0,309.392822265625,299.95681762695312,15.139163017272949,4.3551211357116699,2.3517520427703857,0.22974464297294617
9060,495.42600437814514,1,0.47276213765144348,755.20831298828125,15.0013427734375,-3.3637668821029365e-05,1,0,0,0.5,0.25,0,222.43020629882812,15.145693778991699,470.65470415923784,0,1.1614301204681396,-0.2547478973865509,-0.21933984756469727,-0.049875229597091675,-0.042942944914102554,0,0,0,309.392822265625,299.97341918945312,15.14568042755127,4.4198522567749023,2.8267676830291748,0.23406890034675598
9120,494.87018743450597,1,0.4710516631603241,755.20831298828125,15.001338005065918,-3.3829044696176425e-05,1,0,0,0.5,0.25,0,222.22801208496094,15.181353569030762,470.12667806278063,0,1.1614301204681396,-0.25284731388092041,-0.21770341694355011,-0.049823220819234848,-0.042898163199424744,0,0,0,309.39285278320312,299.92822265625,15.180807113647461,4.7715907096862793,2.4632341861724854,0.25071296095848083
9180,495.81306757219107,1,0.47365149855613708,755.20831298828125,15.001338958740234,-3.4025106288027018e-05,1,0,0,0.5,0.25,0,221.8101806640625,15.133261680603027,471.02241419358148,0,1.1614301204681396,-0.25537711381912231,-0.21988159418106079,-0.051720697432756424,-0.044531907886266708,0,0,0,309.392822265625,299.9532470703125,15.132888793945312,4.8104085922241211,2.4380636215209961,0.23913536965847015
9240,496.9533505726526,1,0.47170284390449524,755.20831298828125,15.001336097717285,-3.4195967600680888e-05,1,0,0,0.5,0.25,0,223.19610595703125,15.113063812255859,472.10568304401994,0,1.1614301204681396,-0.25323152542114258,-0.21803423762321472,-0.051535505801439285,-0.044372454285621643,0,0,0,309.392822265625,299.95599365234375,15.113036155700684,4.9101548194885254,2.4030518531799316,0.2462882399559021
9300,495.70818485260475,1,0.47208815813064575,755.20831298828125,15.00132942199707,-3.4305983717786148e-05,1,0,0,0.5,0.25,0,223.19697570800781,15.162704467773438,470.92277560997451,0,1.1614301204681396,-0.25362330675125122,-0.21837155520915985,-0.051728151738643646,-0.04453832283616066,0,0,0,309.392822265625,299.966796875,15.162580490112305,5.1345787048339844,2.4601001739501953,0.25023630261421204
9360,493.42272388721909,1,0.47111529111862183,755.20831298828125,15.001325607299805,-3.4458327718311921e-05,1,0,0,0.5,0.25,0,224.37654113769531,15.174382209777832,468.7515876928581,0,1.1614301204681396,-0.25280594825744629,-0.21766780316829681,-0.050389979034662247,-0.043386146426200867,0,0,0,309.392822265625,299.93112182617188,15.17426872253418,5.0610241889953613,2.7397489547729492,0.24561108648777008
9420,491.77528026506747,1,0.47294631600379944,755.20831298828125,15.00132942199707,-3.4676177165238187e-05,1,0,0,0.5,0.25,0,223.85801696777344,15.181884765625,467.18651625181406,0,1.1614301204681396,-0.25432485342025757,-0.21897560358047485,-0.052990082651376724,-0.045624855905771255,0,0,0,309.39285278320312,299.95465087890625,15.181843757629395,4.7501373291015625,2.3594770431518555,0.24102231860160828
9480,493.5642089914852,1,0.46917885541915894,755.20831298828125,15.001325607299805,-3.481911335256882e-05,1,0,0,0.5,0.25,0,220.77153015136719,15.144051551818848,468.88599854191091,0,1.1614301204681396,-0.25052621960639954,-0.21570494771003723,-0.050997968763113022,-0.043909631669521332,0,0,0,309.392822265625,299.97012329101562,15.143601417541504,5.296198844909668,2.341289758682251,0.23548603057861328
9540,495.00257320627287,1,0.46826216578483582,755.20831298828125,15.001325607299805,-3.4812434023479e-05,1,0,0,0.5,0.25,0,219.74913024902344,15.148310661315918,470.25244454595918,0,1.1614301204681396,-0.24934969842433929,-0.21469195187091827,-0.051764629781246185,-0.044569730758666992,0,0,0,309.392822265625,299.95831298828125,15.148283004760742,4.8018360137939453,2.545468807220459,0.22994504868984222
9600,494.11336874405083,1,0.46859988570213318,755.20831298828125,15.001322746276855,-3.4722976124612615e-05,1,0,0,0.5,0.25,0,221.36900329589844,15.129944801330566,469.40770030684826,0,1.1614301204681396,-0.24962425231933594,-0.21492834389209747,-0.052248235791921616,-0.044986121356487274,0,0,0,309.392822265625,299.94866943359375,15.129914283752441,4.9546504020690918,2.5108394622802734,0.23381996154785156
9660,490.95882465492423,1,0.46522402763366699,755.20831298828125,15.00131893157959,-3.4695196518441662e-05,1,0,0,0.5,0.25,0,221.18386840820312,15.143826484680176,466.41088342217802,0,1.1614301204681396,-0.24605008959770203,-0.21185095608234406,-0.051452592015266418,-0.044301066547632217,0,0,0,309.392822265625,299.96206665039062,15.143784523010254,4.8317527770996094,2.1633639335632324,0.23491448163986206
9720,490.17209826982912,1,0.46577039361000061,755.20831298828125,15.001317024230957,-3.4782784496201202e-05,1,0,0,0.5,0.25,0,221.58061218261719,15.138575553894043,465.66349335633765,0,1.1614301204681396,-0.24611203372478485,-0.21190430223941803,-0.053983662277460098,-0.046480335295200348,0,0,0,309.392822265625,299.96432495117188,15.138505935668945,5.2784967422485352,2.4993712902069092,0.23215934634208679
9780,494.56150937212135,1,0.46248996257781982,755.20831298828125,15.001312255859375,-3.489146547508426e-05,1,0,0,0.5,0.25,0,221.7880859375,15.158231735229492,469.83343390351524,0,1.1614301204681396,-0.24277454614639282,-0.20903070271015167,-0.052689585834741592,-0.045366127043962479,0,0,0,309.39285278320312,299.96914672851562,15.158023834228516,4.946535587310791,2.64389967918396,0.24422979354858398
9840,493.55132811791009,1,0.46084776520729065,755.20831298828125,15.001310348510742,-3.4924516512546688e-05,1,0,0,0.5,0.25,0,223.862548828125,15.15019416809082,468.87376171201458,0,1.1614301204681396,-0.2409316748380661,-0.207443967461586,-0.052874386310577393,-0.045525241643190384,0,0,0,309.392822265625,299.94805908203125,15.1494140625,5.6842126846313477,2.5732581615447998,0.25593635439872742
9900,491.46206097640135,1,0.46042472124099731,755.20831298828125,15.001301765441895,-3.4834694815799594e-05,1,0,0,0.5,0.25,0,223.30119323730469,15.104806900024414,466.88895792758126,0,1.1614301204681396,-0.24073144793510437,-0.20727157592773438,-0.051662728190422058,-0.044481992721557617,0,0,0,309.392822265625,299.962646484375,15.104705810546875,5.9893379211425781,2.5859007835388184,0.26604399085044861
9960,490.5815205391558,1,0.45984065532684326,755.20831298828125,15.00129508972168,-3.4660759411053732e-05,1,0,0,0.5,0.25,0,219.23612976074219,15.09641170501709,466.05244451219801,0,1.1614301204681396,-0.2396959513425827,-0.20638000965118408,-0.053474392741918564,-0.046041850000619888,0,0,0,309.392822265625,299.94192504882812,15.096147537231445,5.0407276153564453,2.8559284210205078,0.24383500218391418
10020,489.82613830149586,1,0.4641822874546051,755.20831298828125,15.001285552978516,-3.4610515285748988e-05,1,0,0,0.5,0.25,0,218.407958984375,15.125737190246582,465.33483138642106,0,1.1614301204681396,-0.24392914772033691,-0.21002481877803802,-0.055879447609186172,-0.048112619668245316,0,0,0,309.392822265625,299.96072387695312,15.125398635864258,5.3814506530761719,2.486290454864502,0.22837798297405243
10080,490.5801129755128,1,0.46171122789382935,755.20831298828125,15.00128173828125,-3.4727992897387594e-05,1,0,0,0.5,0.25,0,218.13136291503906,15.126401901245117,466.05110732673717,0,1.1614301204681396,-0.24124296009540558,-0.20771199464797974,-0.055703494697809219,-0.047961123287677765,0,0,0,309.392822265625,299.95257568359375,15.125993728637695,5.2405719757080078,2.5576119422912598,0.22561179101467133
10140,490.8460764741464,1,0.46330687403678894,755.20831298828125,15.001277923583984,-3.4823286114260554e-05,1,0,0,0.5,0.25,0,218.66180419921875,15.105489730834961,466.30377265043904,0,1.1614301204681396,-0.24248409271240234,-0.20878061652183533,-0.057916548103094101,-0.049866579473018646,0,0,0,309.392822265625,299.96475219726562,15.105457305908203,5.2327752113342285,2.4888412952423096,0.21121923625469208
10200,489.25848311051811,1,0.46293801069259644,755.20831298828125,15.00127124786377,-3.4865694033214822e-05,1,0,0,0.5,0.25,0,216.95039367675781,15.132576942443848,464.7955589549922,0,1.1614301204681396,-0.24205592274665833,-0.20841196179389954,-0.058000795543193817,-0.049939118325710297,0,0,0,309.392822265625,299.9761962890625,15.132564544677734,4.8933453559875488,2.189056396484375,0.219193235039711
10260,491.38196940912428,1,0.46048790216445923,755.20831298828125,15.00126838684082,-3.4994431189261377e-05,1,0,0,0.5,0.25,0,213.04130554199219,15.117454528808594,466.81287093866803,0,1.1614301204681396,-0.23975978791713715,-0.20643496513366699,-0.056295633316040039,-0.048470959067344666,0,0,0,309.392822265625,299.97247314453125,15.11738109588623,5.0110783576965332,2.5294690132141113,0.22684203088283539
10320,495.85596967855804,1,0.45581513643264771,755.20831298828125,15.001266479492188,-3.5066812415607274e-05,1,0,0,0.5,0.25,0,211.4583740234375,15.144027709960938,471.06317119463012,0,1.1614301204681396,-0.23475201427936554,-0.2021232396364212,-0.055863458663225174,-0.048098854720592499,0,0,0,309.392822265625,299.96926879882812,15.143906593322754,4.9571371078491211,2.3451755046844482,0.21945285797119141
10380,495.48825772544359,1,0.45495104789733887,755.20831298828125,15.00125789642334,-3.502204708638601e-05,1,0,0,0.5,0.25,0,211.69905090332031,15.168457984924316,470.71384483917137,0,1.1614301204681396,-0.23386076092720032,-0.20135585963726044,-0.05566052719950676,-0.04792412742972374,0,0,0,309.392822265625,299.9752197265625,15.167877197265625,4.9022979736328125,2.2854251861572266,0.21560473740100861
10440,494.09030847692549,1,0.45392218232154846,755.20831298828125,15.001253128051758,-3.4991626307601109e-05,1,0,0,0.5,0.25,0,210.9183349609375,15.149395942687988,469.38579305307917,0,1.1614301204681396,-0.23221032321453094,-0.19993482530117035,-0.057847540825605392,-0.049807164818048477,0,0,0,309.392822265625,299.97796630859375,15.149155616760254,5.0584955215454102,2.2653257846832275,0.21718631684780121
