time_s,z_m,variable,value,location,units,record_kind,window_start_s,window_end_s
30600.0,34.375,buoyancy_mean,0.00656859716,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,40.625,buoyancy_mean,0.00799199566,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,46.875,buoyancy_mean,0.00939990394,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,53.125,buoyancy_mean,0.0108201094,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,59.375,buoyancy_mean,0.0122634983,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,65.625,buoyancy_mean,0.0136473645,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,71.875,buoyancy_mean,0.0150430119,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,78.125,buoyancy_mean,0.0165115129,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,84.375,buoyancy_mean,0.018022811,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,90.625,buoyancy_mean,0.0196983423,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,96.875,buoyancy_mean,0.0215839613,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,103.125,buoyancy_mean,0.0235916246,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,109.375,buoyancy_mean,0.0257801656,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,115.625,buoyancy_mean,0.0280372277,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,121.875,buoyancy_mean,0.0302942041,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,128.125,buoyancy_mean,0.0326464921,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,134.375,buoyancy_mean,0.0353125669,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,140.625,buoyancy_mean,0.0383616984,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,146.875,buoyancy_mean,0.0416692011,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,153.125,buoyancy_mean,0.0450228713,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,159.375,buoyancy_mean,0.0484221205,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,165.625,buoyancy_mean,0.0522174984,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,171.875,buoyancy_mean,0.0571927428,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,178.125,buoyancy_mean,0.0632430464,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,184.375,buoyancy_mean,0.0690602958,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,190.625,buoyancy_mean,0.0739655048,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,196.875,buoyancy_mean,0.0784750879,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,203.125,buoyancy_mean,0.0831465721,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,209.375,buoyancy_mean,0.0879066437,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,215.625,buoyancy_mean,0.0922274068,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,221.875,buoyancy_mean,0.095632121,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,228.125,buoyancy_mean,0.0981229767,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,234.375,buoyancy_mean,0.100065082,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,240.625,buoyancy_mean,0.101873882,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,246.875,buoyancy_mean,0.103845313,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,253.125,buoyancy_mean,0.106053106,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,259.375,buoyancy_mean,0.108508758,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,265.625,buoyancy_mean,0.111207396,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,271.875,buoyancy_mean,0.11401134,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,278.125,buoyancy_mean,0.116725296,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,284.375,buoyancy_mean,0.119168885,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,290.625,buoyancy_mean,0.121277638,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,296.875,buoyancy_mean,0.123230308,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,303.125,buoyancy_mean,0.125253171,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,309.375,buoyancy_mean,0.127425089,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,315.625,buoyancy_mean,0.129688978,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,321.875,buoyancy_mean,0.131949008,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,328.125,buoyancy_mean,0.134175718,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,334.375,buoyancy_mean,0.136405557,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,340.625,buoyancy_mean,0.138595492,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,346.875,buoyancy_mean,0.140745074,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,353.125,buoyancy_mean,0.142927289,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,359.375,buoyancy_mean,0.145290151,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,365.625,buoyancy_mean,0.147837073,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,371.875,buoyancy_mean,0.150481656,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,378.125,buoyancy_mean,0.153008521,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,384.375,buoyancy_mean,0.155097798,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,390.625,buoyancy_mean,0.156614348,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,396.875,buoyancy_mean,0.157744423,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
32400.0,3.125,buoyancy_mean,-0.0133201377,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,9.375,buoyancy_mean,-0.00396165671,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,15.625,buoyancy_mean,-0.00282941107,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,21.875,buoyancy_mean,-0.00106727157,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,28.125,buoyancy_mean,0.000554445025,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,34.375,buoyancy_mean,0.00209124759,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,40.625,buoyancy_mean,0.00355845317,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,46.875,buoyancy_mean,0.00497080712,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,53.125,buoyancy_mean,0.00634805486,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,59.375,buoyancy_mean,0.00776463794,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,65.625,buoyancy_mean,0.00925055612,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,71.875,buoyancy_mean,0.0108016841,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,78.125,buoyancy_mean,0.0124236485,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,84.375,buoyancy_mean,0.0141006364,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,90.625,buoyancy_mean,0.0158530343,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,96.875,buoyancy_mean,0.0177106671,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,103.125,buoyancy_mean,0.019701859,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,109.375,buoyancy_mean,0.0218495987,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,115.625,buoyancy_mean,0.0241363756,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,121.875,buoyancy_mean,0.0265253335,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,128.125,buoyancy_mean,0.0291557685,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,134.375,buoyancy_mean,0.0320944153,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,140.625,buoyancy_mean,0.0353379399,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,146.875,buoyancy_mean,0.0388199762,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,153.125,buoyancy_mean,0.0425033718,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,159.375,buoyancy_mean,0.0465204976,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,165.625,buoyancy_mean,0.0512641221,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,171.875,buoyancy_mean,0.0567727424,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,178.125,buoyancy_mean,0.0625644177,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,184.375,buoyancy_mean,0.0681996271,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,190.625,buoyancy_mean,0.0731787607,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
32400.0,196.875,buoyancy_mean,0.0778066963,Center,m s^-2,preceding_1800s_average,30600.0,32400.0
