time_s,naive_float32_K_m_s,centered_float32_K_m_s,quantized_input_float64_K_m_s
3470.0,-0.0013942718505859375,0.0009286819840781391,0.0009283341069214017
3480.0,-0.001438140869140625,0.0009121331968344748,0.000911770827001563
3490.0,-0.0014476776123046875,0.0009304970153607428,0.0009303753359528106
3500.0,-0.0014276504516601562,0.0009111093240790069,0.0009109311538603763
3510.0,-0.0013856887817382812,0.0009303599945269525,0.000929961087517885
3520.0,-0.0014657974243164062,0.0009128806996159256,0.0009125746133372882
3530.0,-0.0014200210571289062,0.000927283545024693,0.0009271968353111693
3540.0,-0.0014219284057617188,0.0009165372466668487,0.0009162832133282335
3550.0,-0.00141143798828125,0.0009231909061782062,0.0009227845619427103
3560.0,-0.0014657974243164062,0.0009213293087668717,0.0009211157226644093
3570.0,-0.0014085769653320312,0.0009179387707263231,0.0009178448990286793
3580.0,-0.0014009475708007812,0.000926170265302062,0.0009258453676636023
3590.0,-0.0014276504516601562,0.0009140101610682905,0.0009136327707418079
3600.0,-0.0014600753784179688,0.0009294096962548792,0.0009292702293341821
3610.0,-0.0014181137084960938,0.0009113659034483135,0.0009112180701964895
3620.0,-0.0013914108276367188,0.0009309073793701828,0.0009305207604850843
3630.0,-0.0014591217041015625,0.0009115454740822315,0.0009112137435030812
3640.0,-0.0014247894287109375,0.0009293752373196185,0.0009292797228455428
3650.0,-0.0014276504516601562,0.0009138521854765713,0.000913621408862668
3660.0,-0.0014028549194335938,0.000926270498894155,0.0009258624118533349
3670.0,-0.0014677047729492188,0.000918074045330286,0.00091782906228333
3680.0,-0.0014104843139648438,0.0009212233708240092,0.0009211365265001284
3690.0,-0.001407623291015625,0.0009230701252818108,0.0009227687973896926
3700.0,-0.00142669677734375,0.0009166940581053495,0.0009163024855837644
3710.0,-0.0014600753784179688,0.0009273472242057323,0.0009271862920720145
3720.0,-0.0014142990112304688,0.0009127113735303283,0.0009125883640267776
3730.0,-0.0013933181762695312,0.0009303286205977201,0.000929959081295877
3740.0,-0.0014476776123046875,0.0009112876141443849,0.0009109370632015331
3750.0,-0.0014352798461914062,0.0009304909035563469,0.0009303830352931404
3760.0,-0.0014352798461914062,0.0009119749302044511,0.0009117684933282354
3770.0,-0.0013904571533203125,0.0009287577122449875,0.0009283510278204195
3780.0,-0.0014696121215820312,0.0009151480044238269,0.000914871015560192
3790.0,-0.001415252685546875,0.0009244632092304528,0.0009243788598171308
3800.0,-0.0014133453369140625,0.0009197350009344518,0.0009194568715563734
3810.0,-0.0014209747314453125,0.0009198773768730462,0.0009194753942914104
3820.0,-0.00146484375,0.0009245479595847428,0.0009243618952882349
3830.0,-0.0014104843139648438,0.0009149923571385443,0.0009148860823249897
3840.0,-0.0013942718505859375,0.0009286890272051096,0.0009283402613309132
3850.0,-0.001438140869140625,0.0009121401817537844,0.0009117767758712898
3860.0,-0.0014476776123046875,0.0009305038838647306,0.0009303811032516222
3870.0,-0.0014276504516601562,0.0009111160761676729,0.0009109367323091932
3880.0,-0.0013856887817382812,0.0009303665137849748,0.0009299664704400407
3890.0,-0.0014657974243164062,0.0009128870442509651,0.0009125798226828083
3900.0,-0.0014200210571289062,0.0009272898896597326,0.0009272018849903048
3910.0,-0.0014219284057617188,0.0009165433584712446,0.0009162880920181114
3920.0,-0.00141143798828125,0.0009231968433596194,0.0009227892716276666
3930.0,-0.0014657974243164062,0.000921335129532963,0.0009211202852642589
3940.0,-0.0014085769653320312,0.0009179445332847536,0.0009178493187289186
3950.0,-0.0014009475708007812,0.0009261757368221879,0.0009258496339825565
3960.0,-0.0014276504516601562,0.0009140155161730945,0.0009136368930300139
3970.0,-0.0014600753784179688,0.0009294149931520224,0.0009292742254399655
3980.0,-0.0014181137084960938,0.0009113710839301348,0.0009112219369878962
3990.0,-0.0013914108276367188,0.0009309123852290213,0.0009305244917077209
4000.0,-0.0014591217041015625,0.0009115503635257483,0.0009112173529795968
4010.0,-0.0014247894287109375,0.0009293800685554743,0.0009292832220799852
4020.0,-0.0014276504516601562,0.0009138568420894444,0.0009136247908499584
4030.0,-0.0014028549194335938,0.0009262749226763844,0.000925865676018447
4040.0,-0.0014677047729492188,0.0009180783526971936,0.0009178322235089304
4050.0,-0.0014104843139648438,0.0009212276199832559,0.0009211395895871653
4060.0,-0.001407623291015625,0.0009230741416104138,0.0009227717548959711
4070.0,-0.00142669677734375,0.0009166979580186307,0.0009163053422554661
4080.0,-0.0014600753784179688,0.0009273510077036917,0.0009271890608712039
4090.0,-0.0014142990112304688,0.0009127150988206267,0.0009125910442596776
4100.0,-0.0013933181762695312,0.000930332113057375,0.0009299616677108607
4110.0,-0.0014476776123046875,0.0009112909901887178,0.0009109395642221082
