time_s,q_z100p0m,q_z10p0m,q_z180p0m,q_z200p0m,q_z25p0m,q_z50p0m,theta_z100p0m,theta_z10p0m,theta_z180p0m,theta_z200p0m,theta_z25p0m,theta_z50p0m,u_z100p0m,u_z10p0m,u_z180p0m,u_z200p0m,u_z25p0m,u_z50p0m,v_z100p0m,v_z10p0m,v_z180p0m,v_z200p0m,v_z25p0m,v_z50p0m,w_z100p0m,w_z10p0m,w_z180p0m,w_z200p0m,w_z25p0m,w_z50p0m
12880,0.0093244519084692001,0.0098876254633069038,0.0086103901267051697,0.0085363537073135376,0.0098378369584679604,0.0097187841311097145,293.94720458984375,288.88931274414062,297.02490234375,297.45321655273438,290.08868408203125,291.23236083984375,-6.8364410400390625,-1.0123268365859985,-2.4263401031494141,-1.854046106338501,-4.2143840789794922,-5.7872543334960938,4.7811398506164551,-0.68163031339645386,6.4998836517333984,5.9838533401489258,0.36932870745658875,1.1103358268737793,0.045012138783931732,0.10154030472040176,-0.078934885561466217,-0.042466085404157639,0.021954216063022614,-0.017589177936315536
12890,0.0093326512724161148,0.0098860003054141998,0.0086371554061770439,0.0085660573095083237,0.0097949178889393806,0.0096644386649131775,293.92153930664062,288.94668579101562,297.0595703125,297.33309936523438,290.39617919921875,291.54364013671875,-6.8069391250610352,-0.97527551651000977,-2.3999483585357666,-1.8375965356826782,-4.5286884307861328,-6.1542572975158691,4.7643280029296875,-0.42496168613433838,6.4009661674499512,6.0721502304077148,0.32339492440223694,1.3438987731933594,-0.016085138544440269,0.12489995360374451,-0.00081231532385572791,-0.04015982523560524,0.09919295459985733,0.037755552679300308
12900,0.0092850793153047562,0.0098592247813940048,0.0085642701014876366,0.0085126962512731552,0.0098012527450919151,0.0097033698111772537,294.13845825195312,289.20623779296875,297.28182983398438,297.52395629882812,290.43264770507812,291.30728149414062,-6.7312488555908203,-1.6550536155700684,-2.2228672504425049,-1.6524558067321777,-4.492591381072998,-5.7539348602294922,5.0127487182617188,-0.099646076560020447,6.3145961761474609,5.9599442481994629,0.74977582693099976,1.3127286434173584,-0.042227964848279953,-0.054624099284410477,-0.036510858684778214,-0.070299364626407623,-0.068868584930896759,-0.14969182014465332
12910,0.009398207999765873,0.0098584471270442009,0.0085858479142189026,0.0085083944723010063,0.0098393047228455544,0.0097461463883519173,293.58111572265625,289.51437377929688,297.23138427734375,297.54464721679688,290.02926635742188,290.95132446289062,-6.8739895820617676,-2.0279941558837891,-2.279454231262207,-1.6515176296234131,-4.0891342163085938,-5.2435164451599121,4.5238995552062988,0.066368706524372101,6.3211784362792969,5.9425396919250488,0.52708721160888672,0.99589568376541138,-0.1193142756819725,-0.10343614965677261,0.0062061739154160023,-0.013709531165659428,-0.0053305793553590775,0.0036586811766028404
12920,0.0094022704288363457,0.0099047515541315079,0.0085860081017017365,0.0084925657138228416,0.0098034096881747246,0.0096684778109192848,293.50347900390625,289.03140258789062,297.16842651367188,297.57891845703125,290.19589233398438,291.36834716796875,-6.9214167594909668,-1.8867216110229492,-2.1563479900360107,-1.5970684289932251,-3.8089706897735596,-5.7908964157104492,4.3377466201782227,-0.54637902975082397,6.3043150901794434,5.9657297134399414,0.1130094900727272,0.95018857717514038,-0.070183247327804565,0.020558828487992287,-0.046233121305704117,-0.013852178119122982,0.062089446932077408,-0.035719409584999084
12930,0.009358065202832222,0.009831438772380352,0.0086164306849241257,0.0085210176184773445,0.0098293116316199303,0.0097039928659796715,293.760498046875,289.17034912109375,297.12112426757812,297.41043090820312,289.90109252929688,291.28329467773438,-6.776425838470459,-1.7120163440704346,-2.13616943359375,-1.6924206018447876,-3.5140273571014404,-5.8726239204406738,4.5540485382080078,-0.74818873405456543,6.3436083793640137,6.0581355094909668,0.21517908573150635,1.2133151292800903,0.040106818079948425,0.1301521360874176,0.037104185670614243,0.023832885548472404,0.028606075793504715,-0.05432511493563652
12940,0.0093987546861171722,0.0098373517394065857,0.008568628691136837,0.0085344268009066582,0.0098424460738897324,0.0097285732626914978,293.46792602539062,289.46817016601562,297.269775390625,297.39096069335938,289.76031494140625,291.00643920898438,-6.8863844871520996,-1.7934349775314331,-2.2414627075195312,-1.8593039512634277,-3.2957358360290527,-5.3206148147583008,4.6322999000549316,-0.25996759533882141,6.3192806243896484,6.1727261543273926,0.04018571600317955,0.89701569080352783,0.10509311407804489,0.10906196385622025,0.0096810776740312576,-0.02680976502597332,0.022816091775894165,-0.018911069259047508
12950,0.0093917567282915115,0.0098687773570418358,0.008626328781247139,0.0085209505632519722,0.0098093673586845398,0.009719477966427803,293.640625,289.35256958007812,297.04083251953125,297.42877197265625,290.16204833984375,291.076171875,-6.9133772850036621,-1.8183470964431763,-2.2331361770629883,-1.8261665105819702,-3.654451847076416,-5.3679318428039551,4.6728787422180176,-0.075322113931179047,6.3447732925415039,6.0808925628662109,0.4424167275428772,0.83884257078170776,0.019759232178330421,0.042675383388996124,0.0260941032320261,-0.0013998120557516813,0.075189404189586639,0.12315024435520172
12960,0.0093926843255758286,0.0098546920344233513,0.0085907746106386185,0.0085026472806930542,0.0097917830571532249,0.0097399139776825905,293.54391479492188,289.28616333007812,297.17974853515625,297.51416015625,290.21218872070312,290.90969848632812,-6.9883012771606445,-1.981148362159729,-2.178884744644165,-1.7875062227249146,-3.9695186614990234,-5.0842680931091309,4.1407737731933594,-0.46453759074211121,6.1920104026794434,6.0781154632568359,0.25526109337806702,0.76116585731506348,0.038265231996774673,0.25604924559593201,0.036008767783641815,0.058522783219814301,0.3182939887046814,0.094183020293712616
12970,0.0094232680276036263,0.0098490230739116669,0.0085856746882200241,0.0085337413474917412,0.0097908033058047295,0.0096909161657094955,293.46151733398438,289.6163330078125,297.21292114257812,297.45123291015625,290.48794555664062,291.28225708007812,-6.6192984580993652,-2.3344714641571045,-2.2991716861724854,-1.7518254518508911,-4.3072729110717773,-5.1328840255737305,4.545198917388916,-0.52858257293701172,6.3102245330810547,5.9752798080444336,0.70600473880767822,1.1962575912475586,-0.067654676735401154,-0.0072473296895623207,0.073626197874546051,-0.049790907651185989,0.015448846854269505,-0.033710204064846039
