case_id,grid,window_start_s,window_end_s,z_m,w_variance_m2_s2,w_third_central_moment_m3_s3,skewness_ratio_of_time_averaged_moments,mean_of_four_halfhour_skewness_ratios,valid
coarse_none_weno5,coarse,7200,14400,600.0,0.30031953775,0.031966897175,0.1942339328579946,0.19268054709796686,true
coarse_none_weno5,coarse,7200,14400,620.0,0.3017816765,0.027957804475,0.16864123073185508,0.16640112137331567,true
coarse_none_weno5,coarse,7200,14400,640.0,0.30146278449999997,0.025037538975,0.15126591508039516,0.14839185200656563,true
coarse_none_weno5,coarse,7200,14400,660.0,0.297915511,0.0234422139,0.14416470621792973,0.14073390221795826,true
coarse_none_weno5,coarse,7200,14400,680.0,0.289522171,0.023274121350000003,0.149399985157229,0.1455085355318104,true
coarse_none_weno5,coarse,7200,14400,700.0,0.2747188805,0.024414138624999998,0.169554235938137,0.16529516153300533,true
coarse_none_weno5,coarse,7200,14400,720.0,0.25222682575,0.026465373599999995,0.20892533998113577,0.20438407491742944,true
coarse_none_weno5,coarse,7200,14400,740.0,0.2212225795,0.0286116665,0.2749786504942479,0.2702698762233971,true
coarse_none_weno5,coarse,7200,14400,760.0,0.181749519,0.029517881575000002,0.38095640590730034,0.3763409278779188,true
coarse_none_weno5,coarse,7200,14400,780.0,0.13542054599999997,0.027505289300000003,0.5519368319787058,0.5481699682129944,true
coarse_none_weno5,coarse,7200,14400,800.0,0.08654925785,0.021324418025,0.8374948886533911,0.8370275273390109,true
coarse_none_weno5,coarse,7200,14400,820.0,0.042863560849999996,0.0119166236775,1.3428294412351813,1.3524008040276991,true
coarse_none_weno5,coarse,7200,14400,840.0,0.0138023921525,0.0036361853099999997,2.2424071234399903,2.2724617079422518,true
coarse_none_weno5,coarse,7200,14400,860.0,0.0025350853975,0.00035407343999999997,2.7739872454051477,2.4775328872312383,true
coarse_none_weno5,coarse,7200,14400,880.0,0.0012354999800000001,-8.089442639999998e-6,-0.1862749630110367,-0.18982687847353244,true
coarse_none_weno5,coarse,7200,14400,900.0,0.0014095772624999998,-3.5359009825e-6,-0.06681389131743583,-0.057866025088632346,true
coarse_none_weno5,coarse,7200,14400,920.0,0.001512979915,8.537434575e-6,0.14507001115674265,0.14941495274823247,true
coarse_none_weno5,coarse,7200,14400,940.0,0.001414367375,5.848430914999998e-7,0.010995019885823602,0.013127150557090645,true
coarse_none_weno5,coarse,7200,14400,960.0,0.0013880149650000002,-8.47479668e-6,-0.16388456963471282,-0.1641015918393416,true
coarse_none_weno5,coarse,7200,14400,980.0,0.0014903461275,-1.16429437225e-5,-0.20236345381817197,-0.20472531400306596,true
coarse_none_weno5,coarse,7200,14400,1000.0,0.001591145295,-9.9651521025e-6,-0.15700705714910462,-0.1578060153357783,true
coarse_none_weno5,coarse,7200,14400,1020.0,0.0015753828349999999,-6.988297512499999e-6,-0.11176150003106719,-0.10974160816335157,true
coarse_none_weno5,coarse,7200,14400,1040.0,0.0014635589900000002,-5.48730163e-6,-0.09800392874278516,-0.09390081938047809,true
coarse_none_weno5,coarse,7200,14400,1060.0,0.00138478697,-4.154138183e-6,-0.08061326032448604,-0.07454259184643308,true
coarse_none_weno5,coarse,7200,14400,1080.0,0.0014109179900000002,-7.839939391750001e-7,-0.014793129148660428,-0.008248416141398457,true
coarse_none_weno5,coarse,7200,14400,1100.0,0.0015037291725,4.98585103625e-6,0.08550369069094374,0.08960628417092918,true
coarse_none_weno5,coarse,7200,14400,1120.0,0.0015624941425,1.052847414e-5,0.17046602643480382,0.17073279955924772,true
coarse_none_weno5,coarse,7200,14400,1140.0,0.00152943001,1.28814865675e-5,0.21536323871959803,0.21301795495907463,true
coarse_none_weno5,coarse,7200,14400,1160.0,0.0014451489525,1.2207761995e-5,0.22221180901392132,0.21889969997855907,true
coarse_none_weno5,coarse,7200,14400,1180.0,0.0013749311325,1.0574319059999999e-5,0.20741062090465318,0.20359009666687924,true
coarse_none_weno5,coarse,7200,14400,1200.0,0.0013544478275,9.441408105000001e-6,0.18940583277476952,0.1850052062455016,true
coarse_none_weno5,coarse,7200,14400,1220.0,0.001371029415,8.9172641425e-6,0.17565538667183908,0.17105956698331687,true
coarse_none_weno5,coarse,7200,14400,1240.0,0.0013838465975000002,8.2814923275e-6,0.1608705988223887,0.15652281898585552,true
coarse_none_weno5,coarse,7200,14400,1260.0,0.001368844185,7.1644859575000005e-6,0.14146663155739797,0.13711140878396033,true
coarse_none_weno5,coarse,7200,14400,1280.0,0.0013354193374999998,5.9641076875e-6,0.12221344472190135,0.1173862918673704,true
coarse_none_weno5,coarse,7200,14400,1300.0,0.001283692635,4.996796207500001e-6,0.10864257812140954,0.10367751535149311,true
coarse_none_weno5,coarse,7200,14400,1320.0,0.0011821962275000001,3.8528711035e-6,0.09478729426659209,0.09123791287423724,true
coarse_none_weno5,coarse,7200,14400,1340.0,0.0010454760642500001,6.767458055e-7,0.020019555536107153,0.019562712729669442,true
coarse_none_weno5,coarse,7200,14400,1360.0,0.00098388968125,-1.07511070655e-5,-0.34836424824952716,-0.31609442938611726,true
coarse_none_weno5,coarse,7200,14400,1380.0,0.001083771627,-3.600317420775e-5,-1.0090998144194308,-0.8435139361173998,true
coarse_none_weno5,coarse,7200,14400,1400.0,0.001324654032,-7.19215745835e-5,-1.4917824316321948,-1.1592777385800683,true
coarse_none_weno5,coarse,7200,14400,1420.0,0.00160687304075,-0.00010878390986500001,-1.6888548185852015,-1.2815892691193942,true
coarse_none_weno5,coarse,7200,14400,1440.0,0.001830310526,-0.000130194577585,-1.6626687371174689,-1.398032023642424,true
coarse_none_weno5,coarse,7200,14400,1460.0,0.0017887429927500001,-0.00011005775747500001,-1.4547847546554604,-1.3163035005906858,true
coarse_none_weno5,coarse,7200,14400,1480.0,0.0011929422915000001,-4.198591022e-5,-1.0190005536053695,-0.9428147576430164,true
coarse_none_weno5,coarse,7200,14400,1500.0,0.0,0.0,NaN,NaN,false
coarse_smagorinsky_weno9,coarse,7200,14400,0.0,0.0,0.0,NaN,NaN,false
coarse_smagorinsky_weno9,coarse,7200,14400,20.0,0.013511132924999999,0.0004618405585,0.29407250408601004,0.2972379669730821,true
coarse_smagorinsky_weno9,coarse,7200,14400,40.0,0.044590588675,0.003033931425,0.32221143684369036,0.32589714925365176,true
coarse_smagorinsky_weno9,coarse,7200,14400,60.0,0.081039976325,0.007996656812499999,0.3466246945315364,0.3508354881554169,true
coarse_smagorinsky_weno9,coarse,7200,14400,80.0,0.11618352875,0.014276146650000002,0.3604907756303501,0.36506961723257003,true
coarse_smagorinsky_weno9,coarse,7200,14400,100.0,0.14814945300000001,0.020630243700000002,0.36178810157264113,0.36646190026711084,true
coarse_smagorinsky_weno9,coarse,7200,14400,120.0,0.17659891025,0.026597184125000003,0.35838814126169893,0.36292601080344256,true
coarse_smagorinsky_weno9,coarse,7200,14400,140.0,0.2016944025,0.032103109175000005,0.3544102936182135,0.3587192436450372,true
coarse_smagorinsky_weno9,coarse,7200,14400,160.0,0.2236539685,0.037227232025,0.35196204556137345,0.35604951762729187,true
coarse_smagorinsky_weno9,coarse,7200,14400,180.0,0.24266176275,0.042022682724999996,0.3515456692452891,0.35545379378275643,true
coarse_smagorinsky_weno9,coarse,7200,14400,200.0,0.2588833535,0.046460291375000004,0.35271647097409475,0.356496239942644,true
coarse_smagorinsky_weno9,coarse,7200,14400,220.0,0.27253914625,0.050459080375,0.35464675830698006,0.3583594993168576,true
coarse_smagorinsky_weno9,coarse,7200,14400,240.0,0.28390552125,0.053948364225,0.356629712203541,0.3603648273357327,true
coarse_smagorinsky_weno9,coarse,7200,14400,260.0,0.293285884,0.05687668175,0.3580943841731251,0.3619746952884228,true
coarse_smagorinsky_weno9,coarse,7200,14400,280.0,0.30099777125,0.059228282425,0.35866105269397985,0.36282921430995435,true
coarse_smagorinsky_weno9,coarse,7200,14400,300.0,0.307354249,0.061004072425,0.358013988497477,0.3626045379185987,true
coarse_smagorinsky_weno9,coarse,7200,14400,320.0,0.312633574,0.062186308200000005,0.35574708629073637,0.36086309721828475,true
coarse_smagorinsky_weno9,coarse,7200,14400,340.0,0.31706955275000004,0.0627450291,0.3514370259427842,0.357139451510453,true
coarse_smagorinsky_weno9,coarse,7200,14400,360.0,0.320860043,0.0626383191,0.3446407596321528,0.3509438988573967,true
coarse_smagorinsky_weno9,coarse,7200,14400,380.0,0.32416318325,0.06183001865,0.3350069715362659,0.3418782618465971,true
coarse_smagorinsky_weno9,coarse,7200,14400,400.0,0.327106811,0.060308777725,0.322363710602815,0.3297259558107635,true
coarse_smagorinsky_weno9,coarse,7200,14400,420.0,0.32981610299999997,0.058073177025000006,0.3065969300123281,0.314332976653542,true
coarse_smagorinsky_weno9,coarse,7200,14400,440.0,0.33242666725000003,0.055132299674999996,0.2876486398074641,0.29561321520944434,true
coarse_smagorinsky_weno9,coarse,7200,14400,460.0,0.3350838345,0.051503594025,0.26552616386752914,0.2735488549232664,true
coarse_smagorinsky_weno9,coarse,7200,14400,480.0,0.33792404825,0.047205396000000004,0.24030510461568969,0.24819975363515398,true
coarse_smagorinsky_weno9,coarse,7200,14400,500.0,0.34107209,0.042284280525,0.21228028973203758,0.21984915643094538,true
coarse_smagorinsky_weno9,coarse,7200,14400,520.0,0.34464261674999996,0.0368241044,0.18200307456069142,0.1890398844152786,true
coarse_smagorinsky_weno9,coarse,7200,14400,540.0,0.34875230475,0.031000878675,0.15052144328486197,0.15682883936105835,true
coarse_smagorinsky_weno9,coarse,7200,14400,560.0,0.35346908099999996,0.025121909999999997,0.11954337401286343,0.12494977919775593,true
coarse_smagorinsky_weno9,coarse,7200,14400,580.0,0.35875403124999994,0.0195877756875,0.09115698178129493,0.0955244464362355,true
coarse_smagorinsky_weno9,coarse,7200,14400,600.0,0.36434905975000004,0.0149390031375,0.06792742299635214,0.07116471458453202,true
coarse_smagorinsky_weno9,coarse,7200,14400,620.0,0.36963344350000005,0.0117780679075,0.05241036287688324,0.05450227371211659,true
coarse_smagorinsky_weno9,coarse,7200,14400,640.0,0.37345589725000006,0.010650677835,0.04666790074646693,0.047701803781886584,true
coarse_smagorinsky_weno9,coarse,7200,14400,660.0,0.37397203575,0.011982844650000001,0.052396374345039146,0.05256693985836796,true
coarse_smagorinsky_weno9,coarse,7200,14400,680.0,0.36882019025,0.015883408025,0.07091231461995116,0.07049754187433063,true
coarse_smagorinsky_weno9,coarse,7200,14400,700.0,0.35550551125,0.0219381489,0.10349764624420064,0.10281709964166615,true
coarse_smagorinsky_weno9,coarse,7200,14400,720.0,0.33176182975,0.029183024074999998,0.1527181544156643,0.152136131077203,true
coarse_smagorinsky_weno9,coarse,7200,14400,740.0,0.29590087374999996,0.036060586575000005,0.2240337330228121,0.22403315398985743,true
coarse_smagorinsky_weno9,coarse,7200,14400,760.0,0.24738146375,0.040403489949999996,0.3283735345297427,0.3297471568202739,true
coarse_smagorinsky_weno9,coarse,7200,14400,780.0,0.1878096535,0.039563371825,0.4860897132227608,0.4904084100484788,true
coarse_smagorinsky_weno9,coarse,7200,14400,800.0,0.12255595825,0.03157168675,0.7358615995223027,0.7466649775936439,true
coarse_smagorinsky_weno9,coarse,7200,14400,820.0,0.062437435599999994,0.017802232425,1.1410557936565715,1.1639654077989574,true
coarse_smagorinsky_weno9,coarse,7200,14400,840.0,0.021456461175,0.0053510703149999995,1.70256427021832,1.7176983143747164,true
coarse_smagorinsky_weno9,coarse,7200,14400,860.0,0.0040711922325,0.000410277780475,1.5794125460235762,1.3113543677140975,true
coarse_smagorinsky_weno9,coarse,7200,14400,880.0,0.0021150882824999997,-6.1787027275e-6,-0.06351913157318957,-0.07678969807355251,true
coarse_smagorinsky_weno9,coarse,7200,14400,900.0,0.002669808165,4.80004528e-5,0.3479567364198095,0.34842795316529984,true
coarse_smagorinsky_weno9,coarse,7200,14400,920.0,0.002969972905,6.5775933775e-5,0.4063855818907222,0.39901815579392286,true
coarse_smagorinsky_weno9,coarse,7200,14400,940.0,0.0028340028925,2.7387552542500002e-5,0.18153183177908294,0.17250756791266642,true
coarse_smagorinsky_weno9,coarse,7200,14400,960.0,0.00275755994,-1.46239435575e-5,-0.10098969491894805,-0.10704322378116836,true
coarse_smagorinsky_weno9,coarse,7200,14400,980.0,0.0029453467599999997,-3.2959276275e-5,-0.20619257317630535,-0.20924731086663437,true
coarse_smagorinsky_weno9,coarse,7200,14400,1000.0,0.0031711905025,-2.9392397225e-5,-0.16458926662306797,-0.16261624795465376,true
coarse_smagorinsky_weno9,coarse,7200,14400,1020.0,0.0032020008075,-1.4321382578000002e-5,-0.07904106637736946,-0.07281255789696871,true
coarse_smagorinsky_weno9,coarse,7200,14400,1040.0,0.0029835738825,-4.05098632925e-6,-0.024857393215209675,-0.015947228045462898,true
coarse_smagorinsky_weno9,coarse,7200,14400,1060.0,0.00275136967,3.038631024999997e-7,0.002105496624652981,0.011530830450314387,true
coarse_smagorinsky_weno9,coarse,7200,14400,1080.0,0.00275524106,9.9415551675e-6,0.06874085411207333,0.07518491885710023,true
coarse_smagorinsky_weno9,coarse,7200,14400,1100.0,0.002969053805,2.8133649275e-5,0.1738997538159258,0.17629118384593562,true
coarse_smagorinsky_weno9,coarse,7200,14400,1120.0,0.0031455592799999998,4.5027486075e-5,0.25522951157011037,0.2550323189004899,true
coarse_smagorinsky_weno9,coarse,7200,14400,1140.0,0.003088443365,4.82766368e-5,0.2812726757258247,0.2801169723468501,true
coarse_smagorinsky_weno9,coarse,7200,14400,1160.0,0.0028528342374999995,3.8186344675000004e-5,0.25060704831451713,0.24937524799462146,true
